Data,Kurs
2003-08-12,2.8337
2003-08-13,2.8286
2003-08-14,2.8334
2003-08-18,2.8265
2003-08-19,2.8199
2003-08-20,2.8279
2003-08-21,2.8228
2003-08-22,2.8322
2003-08-25,2.8308
2003-08-26,2.8351
2003-08-27,2.8402
2003-08-28,2.8262
2003-08-29,2.8355
2003-09-01,2.8335
2003-09-02,2.8339
2003-09-03,2.8466
2003-09-04,2.8369
2003-09-05,2.8648
2003-09-08,2.8798
2003-09-09,2.8682
2003-09-10,2.8648
2003-09-11,2.8549
2003-09-12,2.8564
2003-09-15,2.8507
2003-09-16,2.8715
2003-09-17,2.9095
2003-09-18,2.912
2003-09-19,2.8854
2003-09-22,2.9059
2003-09-23,2.8984
2003-09-24,2.8907
2003-09-25,2.9073
2003-09-26,2.9444
2003-09-29,2.9544
2003-09-30,3.0173
2003-10-01,2.9647
2003-10-02,2.9642
2003-10-03,2.9468
2003-10-06,2.9336
2003-10-07,2.948
2003-10-08,2.9423
2003-10-09,2.9117
2003-10-10,2.9306
2003-10-13,2.9122
2003-10-14,2.9233
2003-10-15,2.9506
2003-10-16,2.9741
2003-10-17,2.9702
2003-10-20,2.9762
2003-10-21,2.9556
2003-10-22,2.9701
2003-10-23,3.0045
2003-10-24,3.0032
2003-10-27,3.0119
2003-10-28,3.0067
2003-10-29,2.9941
2003-10-30,2.9996
2003-10-31,3.0222
2003-11-03,2.9975
2003-11-04,2.9657
2003-11-05,2.9245
2003-11-06,2.942
2003-11-07,2.9208
2003-11-10,2.9168
2003-11-12,2.9287
2003-11-13,2.9174
2003-11-14,2.9139
2003-11-17,2.9332
2003-11-18,2.9472
2003-11-19,2.9766
2003-11-20,2.9829
2003-11-21,3.0081
2003-11-24,2.9994
2003-11-25,2.9917
2003-11-26,3.0038
2003-11-27,3.0141
2003-11-28,3.0469
2003-12-01,2.997
2003-12-02,2.9997
2003-12-03,2.9949
2003-12-04,2.9746
2003-12-05,2.9724
2003-12-08,3.0015
2003-12-09,3.0197
2003-12-10,3.0078
2003-12-11,2.9934
2003-12-12,3.0045
2003-12-15,2.9993
2003-12-16,2.981
2003-12-17,2.9821
2003-12-18,2.9929
2003-12-19,2.989
